"question_id","question_text"
"StartDate","Start Date"
"EndDate","End Date"
"Status","Response Type"
"IPAddress","IP Address"
"Progress","Progress"
"Duration (in seconds)","Duration (in seconds)"
"Finished","Finished"
"RecordedDate","Recorded Date"
"ResponseId","Response ID"
"RecipientLastName","Recipient Last Name"
"RecipientFirstName","Recipient First Name"
"RecipientEmail","Recipient Email"
"ExternalReference","External Data Reference"
"LocationLatitude","Location Latitude"
"LocationLongitude","Location Longitude"
"DistributionChannel","Distribution Channel"
"UserLanguage","User Language"
"Q1","What is your major? - Selected Choice"
"Q1_7_TEXT","What is your major? - Other (Please Specify) - Text"
"Q2","What is your graduation year?"
"Q3","Do you minor in any of the following subjects? - Selected Choice"
"Q3_6_TEXT","Do you minor in any of the following subjects? - Other tech/computing related major (please specify) - Text"
"Q4","Are you a first generation college student? (You're parents/legal guardians did not attend college)."
"Q5","Are you an international student? - Selected Choice"
"Q5_3_TEXT","Are you an international student? - Other (Please Specify) - Text"
"Q6","What is your gender/gender identity? - Selected Choice"
"Q6_4_TEXT","What is your gender/gender identity? - Preferred response not listed (please specify) - Text"
"Q7","Please indicate all of the racial and/or ethnic groups you most identify with. For example, if you identify as ""Latino"" and ""White"", please select both. - Selected Choice"
"Q7_8_TEXT","Please indicate all of the racial and/or ethnic groups you most identify with. For example, if you identify as ""Latino"" and ""White"", please select both. - Other (please specify) - Text"
"Q8","Please indicate your preferred pronouns. - Selected Choice"
"Q8_15_TEXT","Please indicate your preferred pronouns. - Preferred response not listed (please specify) - Text"
"Q9","Select the options that apply to you..."
"Q10","Did you feel prepared for college level courses within your major PRIOR to entering BU? Or in other words, when you graduated from high school, did you feel ready for college level courses?"
"Q11_1","How satisfied are you in regards to the instructional support (ex. support from professors) you've received in the following courses? Please read the options carefully before selecting. - CAS CS111 Introduction to Computer Science I"
"Q11_2","How satisfied are you in regards to the instructional support (ex. support from professors) you've received in the following courses? Please read the options carefully before selecting. - CAS CS112 Introduction to Computer Science II"
"Q11_3","How satisfied are you in regards to the instructional support (ex. support from professors) you've received in the following courses? Please read the options carefully before selecting. - CAS CS131 Combinatoric Structures"
"Q11_4","How satisfied are you in regards to the instructional support (ex. support from professors) you've received in the following courses? Please read the options carefully before selecting. - CAS CS210 Computer Systems"
"Q11_5","How satisfied are you in regards to the instructional support (ex. support from professors) you've received in the following courses? Please read the options carefully before selecting. - CAS CS330 Introduction to the Analysis of Algorithms"
"Q11_6","How satisfied are you in regards to the instructional support (ex. support from professors) you've received in the following courses? Please read the options carefully before selecting. - CAS CS132 Geometrical Algorithms"
"Q11_7","How satisfied are you in regards to the instructional support (ex. support from professors) you've received in the following courses? Please read the options carefully before selecting. - CAS CS235 Algebraic Algorithms"
"Q11_8","How satisfied are you in regards to the instructional support (ex. support from professors) you've received in the following courses? Please read the options carefully before selecting. - CAS CS237 Probability in Computing"
"Q11_9","How satisfied are you in regards to the instructional support (ex. support from professors) you've received in the following courses? Please read the options carefully before selecting. - CAS CS332 Elements in the Theory of Computation"
"Q11_10","How satisfied are you in regards to the instructional support (ex. support from professors) you've received in the following courses? Please read the options carefully before selecting. - CAS CS350 Fundamentals of Computing Systems"
"Q11_11","How satisfied are you in regards to the instructional support (ex. support from professors) you've received in the following courses? Please read the options carefully before selecting. - CAS CS320 Concepts of Programming Languages"
"Q12_1","How satisfied are you in regards to the instructional support (ex. support from professors) you've received in the following courses? Please read the options carefully before selecting. - CDS DS 110 Introduction to DS"
"Q12_2","How satisfied are you in regards to the instructional support (ex. support from professors) you've received in the following courses? Please read the options carefully before selecting. - CDS DS 120 Foundations of DS I"
"Q12_3","How satisfied are you in regards to the instructional support (ex. support from professors) you've received in the following courses? Please read the options carefully before selecting. - CDS DS 121 Foundations of DS II"
"Q12_4","How satisfied are you in regards to the instructional support (ex. support from professors) you've received in the following courses? Please read the options carefully before selecting. - CDS DS 122 Foundations of DS III"
"Q12_5","How satisfied are you in regards to the instructional support (ex. support from professors) you've received in the following courses? Please read the options carefully before selecting. - Programming: CDS DS 210"
"Q12_6","How satisfied are you in regards to the instructional support (ex. support from professors) you've received in the following courses? Please read the options carefully before selecting. - Data Mechanics: CDS DS 310"
"Q12_7","How satisfied are you in regards to the instructional support (ex. support from professors) you've received in the following courses? Please read the options carefully before selecting. - Statistics: CAS MA 213 or CAS MA 214"
"Q12_8","How satisfied are you in regards to the instructional support (ex. support from professors) you've received in the following courses? Please read the options carefully before selecting. - Algorithms: CDS DS 320"
"Q12_9","How satisfied are you in regards to the instructional support (ex. support from professors) you've received in the following courses? Please read the options carefully before selecting. - Machine Learning: CDS DS 340"
"Q12_10","How satisfied are you in regards to the instructional support (ex. support from professors) you've received in the following courses? Please read the options carefully before selecting. - Ethical & Social Implications: CDS DS 380"
"Q12_11","How satisfied are you in regards to the instructional support (ex. support from professors) you've received in the following courses? Please read the options carefully before selecting. - Ethical & Social Implications: CDS DS 457"
"Q13_1","How satisfied are you in regards to the instructional support (ex. support from professors) you've received in the following courses? Please read the options carefully before selecting. - Elementary Statistics I: CAS MA 113"
"Q13_2","How satisfied are you in regards to the instructional support (ex. support from professors) you've received in the following courses? Please read the options carefully before selecting. - Elementary Statistics I: CAS MA 115"
"Q13_3","How satisfied are you in regards to the instructional support (ex. support from professors) you've received in the following courses? Please read the options carefully before selecting. - Elementary Statistics I: CAS MA 213"
"Q13_4","How satisfied are you in regards to the instructional support (ex. support from professors) you've received in the following courses? Please read the options carefully before selecting. - Elementary Statistics II: CAS MA 116"
"Q13_5","How satisfied are you in regards to the instructional support (ex. support from professors) you've received in the following courses? Please read the options carefully before selecting. - Elementary Statistics II: CAS MA 614"
"Q13_6","How satisfied are you in regards to the instructional support (ex. support from professors) you've received in the following courses? Please read the options carefully before selecting. - Elementary Statistics II: CAS MA 214"
"Q13_7","How satisfied are you in regards to the instructional support (ex. support from professors) you've received in the following courses? Please read the options carefully before selecting. - Calculus I: CAS MA 121"
"Q13_8","How satisfied are you in regards to the instructional support (ex. support from professors) you've received in the following courses? Please read the options carefully before selecting. - Calculus I: CAS MA 123"
"Q13_9","How satisfied are you in regards to the instructional support (ex. support from professors) you've received in the following courses? Please read the options carefully before selecting. - Calculus II: CAS MA 122"
"Q13_10","How satisfied are you in regards to the instructional support (ex. support from professors) you've received in the following courses? Please read the options carefully before selecting. - Calculus II: CAS MA 124"
"Q13_11","How satisfied are you in regards to the instructional support (ex. support from professors) you've received in the following courses? Please read the options carefully before selecting. - Calculus II: CAS MA 127"
"Q13_12","How satisfied are you in regards to the instructional support (ex. support from professors) you've received in the following courses? Please read the options carefully before selecting. - Calculus II: CAS MA 129"
"Q13_13","How satisfied are you in regards to the instructional support (ex. support from professors) you've received in the following courses? Please read the options carefully before selecting. - Multivariate Calculus: CAS MA 225"
"Q13_14","How satisfied are you in regards to the instructional support (ex. support from professors) you've received in the following courses? Please read the options carefully before selecting. - Multivariate Calculus: CAS MA 230"
"Q13_15","How satisfied are you in regards to the instructional support (ex. support from professors) you've received in the following courses? Please read the options carefully before selecting. - Differential Equations: CAS MA 226,"
"Q13_16","How satisfied are you in regards to the instructional support (ex. support from professors) you've received in the following courses? Please read the options carefully before selecting. - Differential Equations: CAS MA 231"
"Q13_17","How satisfied are you in regards to the instructional support (ex. support from professors) you've received in the following courses? Please read the options carefully before selecting. - Linear Algebra: CAS MA 142"
"Q13_18","How satisfied are you in regards to the instructional support (ex. support from professors) you've received in the following courses? Please read the options carefully before selecting. - Linear Algebra: CAS MA 242"
"Q13_19","How satisfied are you in regards to the instructional support (ex. support from professors) you've received in the following courses? Please read the options carefully before selecting. - Linear Algebra: CAS MA 442"
"Q13_20","How satisfied are you in regards to the instructional support (ex. support from professors) you've received in the following courses? Please read the options carefully before selecting. - Discrete Math: CAS MA 193"
"Q13_21","How satisfied are you in regards to the instructional support (ex. support from professors) you've received in the following courses? Please read the options carefully before selecting. - Discrete Math: CAS MA 293"
"Q13_22","How satisfied are you in regards to the instructional support (ex. support from professors) you've received in the following courses? Please read the options carefully before selecting. - Modern Algebra: CAS MA 294"
"Q14_1","How satisfied are you in regards to the instructional support (ex. support from professors) you've received in the following courses? Please read the options carefully before selecting. - Calculus I: CAS MA 123"
"Q14_2","How satisfied are you in regards to the instructional support (ex. support from professors) you've received in the following courses? Please read the options carefully before selecting. - Calculus II: CAS MA 124"
"Q14_3","How satisfied are you in regards to the instructional support (ex. support from professors) you've received in the following courses? Please read the options carefully before selecting. - Calculus II: CAS MA 127"
"Q14_4","How satisfied are you in regards to the instructional support (ex. support from professors) you've received in the following courses? Please read the options carefully before selecting. - Calculus II: CAS MA 129"
"Q14_5","How satisfied are you in regards to the instructional support (ex. support from professors) you've received in the following courses? Please read the options carefully before selecting. - Multivariate Calculus: CAS MA 225"
"Q14_6","How satisfied are you in regards to the instructional support (ex. support from professors) you've received in the following courses? Please read the options carefully before selecting. - Multivariate Calculus: CAS MA 230"
"Q14_7","How satisfied are you in regards to the instructional support (ex. support from professors) you've received in the following courses? Please read the options carefully before selecting. - Linear Algebra: CAS MA 242"
"Q14_8","How satisfied are you in regards to the instructional support (ex. support from professors) you've received in the following courses? Please read the options carefully before selecting. - Linear Algebra: CAS MA 442"
"Q14_9","How satisfied are you in regards to the instructional support (ex. support from professors) you've received in the following courses? Please read the options carefully before selecting. - Introduction to Probability and Statistics: CAS MA 213"
